ALL SENTENCE-DIFFERENCE DISTRIBUTION
====================================

sentence_difference: 0 | pair_count: 18670 | percentage: 18.75%
sentence_difference: 1 | pair_count: 21637 | percentage: 21.73%
sentence_difference: 2 | pair_count: 17291 | percentage: 17.37%
sentence_difference: 3 | pair_count: 13216 | percentage: 13.27%
sentence_difference: 4 | pair_count: 9559 | percentage: 9.6%
sentence_difference: 5 | pair_count: 6653 | percentage: 6.68%
sentence_difference: 6 | pair_count: 4327 | percentage: 4.35%
sentence_difference: 7 | pair_count: 2725 | percentage: 2.74%
sentence_difference: 8 | pair_count: 1630 | percentage: 1.64%
sentence_difference: 9 | pair_count: 904 | percentage: 0.91%
sentence_difference: 10 | pair_count: 664 | percentage: 0.67%
sentence_difference: 11 | pair_count: 381 | percentage: 0.38%
sentence_difference: 12 | pair_count: 296 | percentage: 0.3%
sentence_difference: 13 | pair_count: 196 | percentage: 0.2%
sentence_difference: 14 | pair_count: 167 | percentage: 0.17%
sentence_difference: 15 | pair_count: 112 | percentage: 0.11%
sentence_difference: 16 | pair_count: 103 | percentage: 0.1%
sentence_difference: 17 | pair_count: 90 | percentage: 0.09%
sentence_difference: 18 | pair_count: 84 | percentage: 0.08%
sentence_difference: 19 | pair_count: 76 | percentage: 0.08%
sentence_difference: 20 | pair_count: 62 | percentage: 0.06%
sentence_difference: 21 | pair_count: 70 | percentage: 0.07%
sentence_difference: 22 | pair_count: 47 | percentage: 0.05%
sentence_difference: 23 | pair_count: 49 | percentage: 0.05%
sentence_difference: 24 | pair_count: 38 | percentage: 0.04%
sentence_difference: 25 | pair_count: 40 | percentage: 0.04%
sentence_difference: 26 | pair_count: 27 | percentage: 0.03%
sentence_difference: 27 | pair_count: 30 | percentage: 0.03%
sentence_difference: 28 | pair_count: 36 | percentage: 0.04%
sentence_difference: 29 | pair_count: 23 | percentage: 0.02%
sentence_difference: 30 | pair_count: 32 | percentage: 0.03%
sentence_difference: 31 | pair_count: 30 | percentage: 0.03%
sentence_difference: 32 | pair_count: 19 | percentage: 0.02%
sentence_difference: 33 | pair_count: 11 | percentage: 0.01%
sentence_difference: 34 | pair_count: 20 | percentage: 0.02%
sentence_difference: 35 | pair_count: 14 | percentage: 0.01%
sentence_difference: 36 | pair_count: 14 | percentage: 0.01%
sentence_difference: 37 | pair_count: 15 | percentage: 0.02%
sentence_difference: 38 | pair_count: 19 | percentage: 0.02%
sentence_difference: 39 | pair_count: 5 | percentage: 0.01%
sentence_difference: 40 | pair_count: 10 | percentage: 0.01%
sentence_difference: 41 | pair_count: 12 | percentage: 0.01%
sentence_difference: 42 | pair_count: 7 | percentage: 0.01%
sentence_difference: 43 | pair_count: 15 | percentage: 0.02%
sentence_difference: 44 | pair_count: 5 | percentage: 0.01%
sentence_difference: 45 | pair_count: 5 | percentage: 0.01%
sentence_difference: 46 | pair_count: 7 | percentage: 0.01%
sentence_difference: 47 | pair_count: 2 | percentage: 0.0%
sentence_difference: 48 | pair_count: 5 | percentage: 0.01%
sentence_difference: 49 | pair_count: 4 | percentage: 0.0%
sentence_difference: 50 | pair_count: 4 | percentage: 0.0%
sentence_difference: 51 | pair_count: 5 | percentage: 0.01%
sentence_difference: 52 | pair_count: 8 | percentage: 0.01%
sentence_difference: 53 | pair_count: 3 | percentage: 0.0%
sentence_difference: 54 | pair_count: 7 | percentage: 0.01%
sentence_difference: 55 | pair_count: 2 | percentage: 0.0%
sentence_difference: 56 | pair_count: 5 | percentage: 0.01%
sentence_difference: 57 | pair_count: 3 | percentage: 0.0%
sentence_difference: 58 | pair_count: 9 | percentage: 0.01%
sentence_difference: 59 | pair_count: 3 | percentage: 0.0%
sentence_difference: 60 | pair_count: 5 | percentage: 0.01%
