ALL WORD-DIFFERENCE DISTRIBUTION
================================

word_difference: 0 | pair_count: 6800 | percentage: 6.83%
word_difference: 1 | pair_count: 4375 | percentage: 4.39%
word_difference: 2 | pair_count: 4039 | percentage: 4.06%
word_difference: 3 | pair_count: 3802 | percentage: 3.82%
word_difference: 4 | pair_count: 3639 | percentage: 3.65%
word_difference: 5 | pair_count: 3362 | percentage: 3.38%
word_difference: 6 | pair_count: 3218 | percentage: 3.23%
word_difference: 7 | pair_count: 2890 | percentage: 2.9%
word_difference: 8 | pair_count: 2776 | percentage: 2.79%
word_difference: 9 | pair_count: 2661 | percentage: 2.67%
word_difference: 10 | pair_count: 2477 | percentage: 2.49%
word_difference: 11 | pair_count: 2213 | percentage: 2.22%
word_difference: 12 | pair_count: 2078 | percentage: 2.09%
word_difference: 13 | pair_count: 1994 | percentage: 2.0%
word_difference: 14 | pair_count: 1796 | percentage: 1.8%
word_difference: 15 | pair_count: 1817 | percentage: 1.82%
word_difference: 16 | pair_count: 1657 | percentage: 1.66%
word_difference: 17 | pair_count: 1519 | percentage: 1.53%
word_difference: 18 | pair_count: 1381 | percentage: 1.39%
word_difference: 19 | pair_count: 1271 | percentage: 1.28%
word_difference: 20 | pair_count: 1257 | percentage: 1.26%
word_difference: 21 | pair_count: 1201 | percentage: 1.21%
word_difference: 22 | pair_count: 1145 | percentage: 1.15%
word_difference: 23 | pair_count: 1047 | percentage: 1.05%
word_difference: 24 | pair_count: 993 | percentage: 1.0%
word_difference: 25 | pair_count: 955 | percentage: 0.96%
word_difference: 26 | pair_count: 892 | percentage: 0.9%
word_difference: 27 | pair_count: 833 | percentage: 0.84%
word_difference: 28 | pair_count: 831 | percentage: 0.83%
word_difference: 29 | pair_count: 797 | percentage: 0.8%
word_difference: 30 | pair_count: 772 | percentage: 0.78%
word_difference: 31 | pair_count: 666 | percentage: 0.67%
word_difference: 32 | pair_count: 710 | percentage: 0.71%
word_difference: 33 | pair_count: 665 | percentage: 0.67%
word_difference: 34 | pair_count: 596 | percentage: 0.6%
word_difference: 35 | pair_count: 574 | percentage: 0.58%
word_difference: 36 | pair_count: 566 | percentage: 0.57%
word_difference: 37 | pair_count: 590 | percentage: 0.59%
word_difference: 38 | pair_count: 543 | percentage: 0.55%
word_difference: 39 | pair_count: 512 | percentage: 0.51%
word_difference: 40 | pair_count: 566 | percentage: 0.57%
word_difference: 41 | pair_count: 508 | percentage: 0.51%
word_difference: 42 | pair_count: 485 | percentage: 0.49%
word_difference: 43 | pair_count: 444 | percentage: 0.45%
word_difference: 44 | pair_count: 430 | percentage: 0.43%
word_difference: 45 | pair_count: 429 | percentage: 0.43%
word_difference: 46 | pair_count: 459 | percentage: 0.46%
word_difference: 47 | pair_count: 413 | percentage: 0.41%
word_difference: 48 | pair_count: 402 | percentage: 0.4%
word_difference: 49 | pair_count: 438 | percentage: 0.44%
word_difference: 50 | pair_count: 408 | percentage: 0.41%
word_difference: 51 | pair_count: 404 | percentage: 0.41%
word_difference: 52 | pair_count: 389 | percentage: 0.39%
word_difference: 53 | pair_count: 376 | percentage: 0.38%
word_difference: 54 | pair_count: 370 | percentage: 0.37%
word_difference: 55 | pair_count: 388 | percentage: 0.39%
word_difference: 56 | pair_count: 353 | percentage: 0.35%
word_difference: 57 | pair_count: 367 | percentage: 0.37%
word_difference: 58 | pair_count: 363 | percentage: 0.36%
word_difference: 59 | pair_count: 348 | percentage: 0.35%
word_difference: 60 | pair_count: 303 | percentage: 0.3%
word_difference: 61 | pair_count: 346 | percentage: 0.35%
word_difference: 62 | pair_count: 337 | percentage: 0.34%
word_difference: 63 | pair_count: 325 | percentage: 0.33%
word_difference: 64 | pair_count: 361 | percentage: 0.36%
word_difference: 65 | pair_count: 342 | percentage: 0.34%
word_difference: 66 | pair_count: 347 | percentage: 0.35%
word_difference: 67 | pair_count: 334 | percentage: 0.34%
word_difference: 68 | pair_count: 348 | percentage: 0.35%
word_difference: 69 | pair_count: 298 | percentage: 0.3%
