YES WORD COUNT DIFFERENCES
==========================

PAIR WITH MINIMUM WORD-COUNT DIFFERENCE
---------------------------------------
id1: 32610155 | id2: 36431405 | word_count1: 137 | word_count2: 137 | word_count_difference: 0

PAIR WITH MAXIMUM WORD-COUNT DIFFERENCE
---------------------------------------
id1: 32729551 | id2: 31693759 | word_count1: 11066 | word_count2: 156 | word_count_difference: 10910

ARTICLE WITH THE FEWEST WORDS
-----------------------------
id: 34102405 | word_count: 2

ARTICLE WITH THE MOST WORDS
---------------------------
id: 32729551 | word_count: 11066

WORD-DIFFERENCE DISTRIBUTION
----------------------------
word_difference: 0 | pair_count: 3072 | percentage: 8.75%
word_difference: 1 | pair_count: 1937 | percentage: 5.52%
word_difference: 2 | pair_count: 1704 | percentage: 4.85%
word_difference: 3 | pair_count: 1556 | percentage: 4.43%
word_difference: 4 | pair_count: 1469 | percentage: 4.18%
word_difference: 5 | pair_count: 1255 | percentage: 3.57%
word_difference: 6 | pair_count: 1182 | percentage: 3.37%
word_difference: 7 | pair_count: 1092 | percentage: 3.11%
word_difference: 8 | pair_count: 973 | percentage: 2.77%
word_difference: 9 | pair_count: 963 | percentage: 2.74%
word_difference: 10 | pair_count: 869 | percentage: 2.47%
word_difference: 11 | pair_count: 741 | percentage: 2.11%
word_difference: 12 | pair_count: 713 | percentage: 2.03%
word_difference: 13 | pair_count: 675 | percentage: 1.92%
word_difference: 14 | pair_count: 609 | percentage: 1.73%
word_difference: 15 | pair_count: 585 | percentage: 1.67%
word_difference: 16 | pair_count: 569 | percentage: 1.62%
word_difference: 17 | pair_count: 496 | percentage: 1.41%
word_difference: 18 | pair_count: 470 | percentage: 1.34%
word_difference: 19 | pair_count: 412 | percentage: 1.17%
word_difference: 20 | pair_count: 433 | percentage: 1.23%
word_difference: 21 | pair_count: 402 | percentage: 1.14%
word_difference: 22 | pair_count: 370 | percentage: 1.05%
word_difference: 23 | pair_count: 342 | percentage: 0.97%
word_difference: 24 | pair_count: 320 | percentage: 0.91%
word_difference: 25 | pair_count: 312 | percentage: 0.89%
word_difference: 26 | pair_count: 268 | percentage: 0.76%
word_difference: 27 | pair_count: 296 | percentage: 0.84%
word_difference: 28 | pair_count: 265 | percentage: 0.75%
word_difference: 29 | pair_count: 233 | percentage: 0.66%
word_difference: 30 | pair_count: 264 | percentage: 0.75%
word_difference: 31 | pair_count: 231 | percentage: 0.66%
word_difference: 32 | pair_count: 220 | percentage: 0.63%
word_difference: 33 | pair_count: 230 | percentage: 0.65%
word_difference: 34 | pair_count: 197 | percentage: 0.56%
word_difference: 35 | pair_count: 172 | percentage: 0.49%
word_difference: 36 | pair_count: 150 | percentage: 0.43%
word_difference: 37 | pair_count: 185 | percentage: 0.53%
word_difference: 38 | pair_count: 172 | percentage: 0.49%
word_difference: 39 | pair_count: 143 | percentage: 0.41%
word_difference: 40 | pair_count: 171 | percentage: 0.49%
word_difference: 41 | pair_count: 155 | percentage: 0.44%
word_difference: 42 | pair_count: 153 | percentage: 0.44%
word_difference: 43 | pair_count: 163 | percentage: 0.46%
word_difference: 44 | pair_count: 124 | percentage: 0.35%
word_difference: 45 | pair_count: 131 | percentage: 0.37%
word_difference: 46 | pair_count: 130 | percentage: 0.37%
word_difference: 47 | pair_count: 138 | percentage: 0.39%
word_difference: 48 | pair_count: 102 | percentage: 0.29%
word_difference: 49 | pair_count: 126 | percentage: 0.36%
word_difference: 50 | pair_count: 119 | percentage: 0.34%
word_difference: 51 | pair_count: 126 | percentage: 0.36%
word_difference: 52 | pair_count: 127 | percentage: 0.36%
word_difference: 53 | pair_count: 108 | percentage: 0.31%
word_difference: 54 | pair_count: 113 | percentage: 0.32%
word_difference: 55 | pair_count: 111 | percentage: 0.32%
word_difference: 56 | pair_count: 102 | percentage: 0.29%
word_difference: 57 | pair_count: 123 | percentage: 0.35%
word_difference: 58 | pair_count: 106 | percentage: 0.3%
word_difference: 59 | pair_count: 103 | percentage: 0.29%
word_difference: 60 | pair_count: 86 | percentage: 0.24%
word_difference: 61 | pair_count: 99 | percentage: 0.28%
word_difference: 62 | pair_count: 111 | percentage: 0.32%
word_difference: 63 | pair_count: 90 | percentage: 0.26%
word_difference: 64 | pair_count: 113 | percentage: 0.32%
word_difference: 65 | pair_count: 125 | percentage: 0.36%
word_difference: 66 | pair_count: 112 | percentage: 0.32%
word_difference: 67 | pair_count: 110 | percentage: 0.31%
word_difference: 68 | pair_count: 109 | percentage: 0.31%
word_difference: 69 | pair_count: 102 | percentage: 0.29%
word_difference: 70 | pair_count: 108 | percentage: 0.31%
word_difference: 71 | pair_count: 80 | percentage: 0.23%
word_difference: 72 | pair_count: 102 | percentage: 0.29%
word_difference: 73 | pair_count: 76 | percentage: 0.22%
word_difference: 74 | pair_count: 86 | percentage: 0.24%
word_difference: 75 | pair_count: 71 | percentage: 0.2%
word_difference: 76 | pair_count: 84 | percentage: 0.24%
word_difference: 77 | pair_count: 69 | percentage: 0.2%
word_difference: 78 | pair_count: 69 | percentage: 0.2%
word_difference: 79 | pair_count: 66 | percentage: 0.19%
word_difference: 80 | pair_count: 60 | percentage: 0.17%
word_difference: 81 | pair_count: 64 | percentage: 0.18%
word_difference: 82 | pair_count: 71 | percentage: 0.2%
word_difference: 83 | pair_count: 67 | percentage: 0.19%
word_difference: 84 | pair_count: 58 | percentage: 0.17%
word_difference: 85 | pair_count: 65 | percentage: 0.19%
word_difference: 86 | pair_count: 65 | percentage: 0.19%
word_difference: 87 | pair_count: 65 | percentage: 0.19%
word_difference: 88 | pair_count: 60 | percentage: 0.17%
word_difference: 89 | pair_count: 50 | percentage: 0.14%
word_difference: 90 | pair_count: 56 | percentage: 0.16%
word_difference: 91 | pair_count: 62 | percentage: 0.18%
word_difference: 92 | pair_count: 58 | percentage: 0.17%
word_difference: 93 | pair_count: 64 | percentage: 0.18%
word_difference: 94 | pair_count: 63 | percentage: 0.18%
word_difference: 95 | pair_count: 65 | percentage: 0.19%
word_difference: 96 | pair_count: 48 | percentage: 0.14%
word_difference: 97 | pair_count: 53 | percentage: 0.15%
word_difference: 98 | pair_count: 50 | percentage: 0.14%
word_difference: 99 | pair_count: 57 | percentage: 0.16%
word_difference: 100 | pair_count: 62 | percentage: 0.18%
word_difference: 101 | pair_count: 47 | percentage: 0.13%
word_difference: 102 | pair_count: 57 | percentage: 0.16%
word_difference: 103 | pair_count: 56 | percentage: 0.16%
word_difference: 104 | pair_count: 49 | percentage: 0.14%
word_difference: 105 | pair_count: 62 | percentage: 0.18%
word_difference: 106 | pair_count: 60 | percentage: 0.17%
word_difference: 107 | pair_count: 62 | percentage: 0.18%
word_difference: 108 | pair_count: 56 | percentage: 0.16%
word_difference: 109 | pair_count: 58 | percentage: 0.17%
word_difference: 110 | pair_count: 52 | percentage: 0.15%
word_difference: 111 | pair_count: 46 | percentage: 0.13%
word_difference: 112 | pair_count: 50 | percentage: 0.14%
word_difference: 113 | pair_count: 59 | percentage: 0.17%
word_difference: 114 | pair_count: 54 | percentage: 0.15%
word_difference: 115 | pair_count: 54 | percentage: 0.15%
word_difference: 116 | pair_count: 48 | percentage: 0.14%
word_difference: 117 | pair_count: 43 | percentage: 0.12%
word_difference: 118 | pair_count: 38 | percentage: 0.11%
word_difference: 119 | pair_count: 51 | percentage: 0.15%
word_difference: 120 | pair_count: 30 | percentage: 0.09%
word_difference: 121 | pair_count: 49 | percentage: 0.14%
word_difference: 122 | pair_count: 31 | percentage: 0.09%
word_difference: 123 | pair_count: 49 | percentage: 0.14%
word_difference: 124 | pair_count: 41 | percentage: 0.12%
word_difference: 125 | pair_count: 49 | percentage: 0.14%
word_difference: 126 | pair_count: 46 | percentage: 0.13%
word_difference: 127 | pair_count: 36 | percentage: 0.1%
word_difference: 128 | pair_count: 34 | percentage: 0.1%
word_difference: 129 | pair_count: 46 | percentage: 0.13%
word_difference: 130 | pair_count: 32 | percentage: 0.09%
word_difference: 131 | pair_count: 40 | percentage: 0.11%
word_difference: 132 | pair_count: 46 | percentage: 0.13%
word_difference: 133 | pair_count: 38 | percentage: 0.11%
word_difference: 134 | pair_count: 34 | percentage: 0.1%
word_difference: 135 | pair_count: 31 | percentage: 0.09%
word_difference: 136 | pair_count: 34 | percentage: 0.1%
word_difference: 137 | pair_count: 22 | percentage: 0.06%
word_difference: 138 | pair_count: 27 | percentage: 0.08%
word_difference: 139 | pair_count: 24 | percentage: 0.07%
word_difference: 140 | pair_count: 32 | percentage: 0.09%
word_difference: 141 | pair_count: 19 | percentage: 0.05%
word_difference: 142 | pair_count: 19 | percentage: 0.05%
word_difference: 143 | pair_count: 17 | percentage: 0.05%
word_difference: 144 | pair_count: 19 | percentage: 0.05%
word_difference: 145 | pair_count: 21 | percentage: 0.06%
word_difference: 146 | pair_count: 17 | percentage: 0.05%
word_difference: 147 | pair_count: 22 | percentage: 0.06%
word_difference: 148 | pair_count: 19 | percentage: 0.05%
word_difference: 149 | pair_count: 10 | percentage: 0.03%
word_difference: 150 | pair_count: 8 | percentage: 0.02%
word_difference: 151 | pair_count: 15 | percentage: 0.04%
word_difference: 152 | pair_count: 8 | percentage: 0.02%
word_difference: 153 | pair_count: 15 | percentage: 0.04%
word_difference: 154 | pair_count: 12 | percentage: 0.03%
word_difference: 155 | pair_count: 6 | percentage: 0.02%
word_difference: 156 | pair_count: 7 | percentage: 0.02%
word_difference: 157 | pair_count: 6 | percentage: 0.02%
word_difference: 158 | pair_count: 9 | percentage: 0.03%
word_difference: 159 | pair_count: 10 | percentage: 0.03%
word_difference: 160 | pair_count: 4 | percentage: 0.01%
word_difference: 161 | pair_count: 7 | percentage: 0.02%
word_difference: 162 | pair_count: 6 | percentage: 0.02%
word_difference: 163 | pair_count: 5 | percentage: 0.01%
word_difference: 164 | pair_count: 2 | percentage: 0.01%
word_difference: 165 | pair_count: 1 | percentage: 0.0%
word_difference: 166 | pair_count: 3 | percentage: 0.01%
word_difference: 167 | pair_count: 8 | percentage: 0.02%
word_difference: 168 | pair_count: 5 | percentage: 0.01%
word_difference: 169 | pair_count: 4 | percentage: 0.01%
word_difference: 170 | pair_count: 2 | percentage: 0.01%
word_difference: 171 | pair_count: 3 | percentage: 0.01%
word_difference: 172 | pair_count: 3 | percentage: 0.01%
word_difference: 173 | pair_count: 2 | percentage: 0.01%
word_difference: 174 | pair_count: 1 | percentage: 0.0%
word_difference: 175 | pair_count: 4 | percentage: 0.01%
word_difference: 176 | pair_count: 2 | percentage: 0.01%
