id1,id2,classification,language1,language2,word_count1,word_count2,average_word_count,word_count_difference,sentence_count1,sentence_count2,average_sentence_count,sentence_count_difference
30814068,47197111,No,de,ro,52,174,113.0,122,3,7,5.0,4
30988037,32110434,No,fr,it,89,158,123.5,69,4,7,5.5,3
30995397,39744047,No,en,en,7,7,7.0,0,1,1,1.0,0
32624671,36972137,No,fr,fr,42,42,42.0,0,3,3,3.0,0
32651822,47809002,No,it,it,47,175,111.0,128,2,6,4.0,4
32649933,31201689,No,it,it,52,52,52.0,0,2,2,2.0,0
32651447,34769077,No,it,it,52,52,52.0,0,2,2,2.0,0
32627403,46778649,No,de,de,59,63,61.0,4,3,6,4.5,3
32623651,38023045,No,hr,ru,155,130,142.5,25,2,10,6.0,8
32626496,32541149,Yes,pt,pt,159,179,169.0,20,6,7,6.5,1
32654681,34325595,No,it,it,52,52,52.0,0,2,2,2.0,0
32653824,34755289,No,it,it,52,52,52.0,0,2,2,2.0,0
32653825,34325595,No,it,it,52,52,52.0,0,2,2,2.0,0
32662902,37673101,Yes,it,it,165,167,166.0,2,7,4,5.5,3
32663828,44517868,Yes,fr,fr,169,156,162.5,13,8,3,5.5,5
32661664,34769077,No,it,it,52,52,52.0,0,2,2,2.0,0
32595156,32606260,Yes,ru,pl,135,134,134.5,1,6,10,8.0,4
32738033,34178532,No,fr,it,152,157,154.5,5,7,11,9.0,4
32731439,40435414,No,fr,it,162,139,150.5,23,8,4,6.0,4
32761251,34755289,No,it,it,52,52,52.0,0,2,2,2.0,0
32761252,34765589,No,it,it,52,52,52.0,0,2,2,2.0,0
32721945,29714267,Yes,fr,fr,137,157,147.0,20,6,9,7.5,3
32698374,31273295,Yes,ro,ro,160,154,157.0,6,2,4,3.0,2
32681366,42704953,No,fr,pt,180,176,178.0,4,11,10,10.5,1
32704962,6284506,No,ro,ro,169,62,115.5,107,18,13,15.5,5
32704099,36193673,No,es,ca,139,173,156.0,34,2,5,3.5,3
32707099,29696560,Yes,fr,fr,171,167,169.0,4,8,8,8.0,0
32715372,28552252,No,fr,fr,161,144,152.5,17,7,5,6.0,2
32604821,32123662,No,hr,de,166,158,162.0,8,8,10,9.0,2
32608191,33408270,No,en,en,180,177,178.5,3,5,6,5.5,1
32608269,46704942,No,cs,hr,155,151,153.0,4,15,7,11.0,8
32608198,32894747,No,ru,ru,137,137,137.0,0,10,10,10.0,0
32608214,33111236,No,de,de,102,149,125.5,47,7,7,7.0,0
32612149,35651866,No,ru,ru,135,134,134.5,1,10,10,10.0,0
32612165,33059317,Yes,ru,ru,130,137,133.5,7,3,7,5.0,4
32655173,34303879,No,it,it,52,52,52.0,0,2,2,2.0,0
32654928,38958148,No,it,it,42,152,97.0,110,2,8,5.0,6
32665633,46797514,No,it,fr,161,162,161.5,1,2,6,4.0,4
32665905,32335135,No,it,it,153,158,155.5,5,4,10,7.0,6
32668565,45008446,No,it,es,148,169,158.5,21,6,7,6.5,1
32984657,24326974,No,it,it,148,94,121.0,54,6,3,4.5,3
32597675,42373078,No,bg,bg,159,161,160.0,2,13,10,11.5,3
32619442,31573877,Yes,de,de,56,46,51.0,10,3,3,3.0,0
32619697,29951414,No,pt,en,298,362,330.0,64,7,8,7.5,1
32620016,30621623,No,pt,pt,27,39,33.0,12,1,2,1.5,1
32608960,26093161,No,en,el,156,142,149.0,14,2,9,5.5,7
32608964,36058398,No,ru,ru,139,138,138.5,1,10,10,10.0,0
32609009,35092869,Yes,el,el,128,97,112.5,31,1,2,1.5,1
32609053,36540624,No,fr,it,156,147,151.5,9,7,6,6.5,1
32610138,36282273,No,en,en,117,117,117.0,0,4,7,5.5,3
32610148,29138671,Yes,hr,ro,83,142,112.5,59,5,13,9.0,8
32610152,35497298,No,de,de,139,128,133.5,11,11,9,10.0,2
32610155,36431405,Yes,ru,ru,137,137,137.0,0,7,8,7.5,1
32610183,21957302,Yes,de,hu,110,99,104.5,11,6,3,4.5,3
32610185,22715614,Yes,de,de,110,65,87.5,45,6,5,5.5,1
32610174,36431782,No,sk,sk,142,178,160.0,36,14,20,17.0,6
32610337,41850250,No,en,en,180,163,171.5,17,2,3,2.5,1
32610344,28321935,No,de,de,135,37,86.0,98,10,3,6.5,7
32610346,29105329,Yes,ru,ru,138,137,137.5,1,9,9,9.0,0
32609783,44914494,No,en,en,182,171,176.5,11,1,5,3.0,4
32609834,36693998,No,cs,ru,171,103,137.0,68,11,7,9.0,4
32609854,27150395,Yes,en,en,166,172,169.0,6,3,4,3.5,1
32609880,33658856,No,de,pt,121,158,139.5,37,8,9,8.5,1
32609885,35655260,Yes,ru,ru,123,122,122.5,1,9,9,9.0,0
32609889,30466258,No,ru,cs,143,155,149.0,12,6,9,7.5,3
32609894,29392830,Yes,pl,es,141,167,154.0,26,6,8,7.0,2
32611406,36690856,No,en,it,12,162,87.0,150,1,4,2.5,3
32611364,46688181,No,en,en,27,156,91.5,129,1,7,4.0,6
32613979,36718730,No,ru,ru,138,138,138.0,0,10,10,10.0,0
32613767,35210693,No,ru,ru,144,144,144.0,0,11,11,11.0,0
32613768,36289489,No,ru,ru,140,137,138.5,3,10,10,10.0,0
32613777,31549977,Yes,es,pt,25,155,90.0,130,2,3,2.5,1
32614184,34023944,No,ru,ru,149,149,149.0,0,10,10,10.0,0
32611551,34855322,No,ru,ru,136,134,135.0,2,10,10,10.0,0
32611552,36288298,No,ru,ru,140,140,140.0,0,11,11,11.0,0
32611754,36717149,No,ru,ru,134,138,136.0,4,9,9,9.0,0
32623111,32701349,Yes,en,en,22,1765,893.5,1743,1,15,8.0,14
33014249,23480312,Yes,fr,it,174,119,146.5,55,9,4,6.5,5
33108127,24104841,No,fr,pt,163,195,179.0,32,4,10,7.0,6
33369543,39573040,No,fr,pt,157,165,161.0,8,5,1,3.0,4
33558238,34339875,No,fr,it,169,168,168.5,1,11,9,10.0,2
33555384,47353221,No,fr,fr,150,153,151.5,3,7,8,7.5,1
33570945,41759922,No,fr,mk,163,151,157.0,12,6,5,5.5,1
33036807,49104105,Yes,en,en,22,147,84.5,125,1,5,3.0,4
33679431,48302651,No,fr,ru,161,146,153.5,15,6,9,7.5,3
33692308,33838959,No,fr,fr,151,109,130.0,42,5,4,4.5,1
33982802,47376464,No,fr,it,167,152,159.5,15,9,7,8.0,2
